Description,Speciality
I have hair loss and trouble seeing,Cardiologist
I have nausea and anxiety,Neurologist
I have depression and stomach pain,Neurologist
I have hair loss and toothache,Endocrinologist
I have difficulty breathing and chest pain,Cardiologist
I have skin itching and shortness of breath,Urologist
I have skin itching and fatigue,Neurologist
I have toothache and dizziness,Gastroenterologist
I have sore throat and hair loss,Urologist
I have trouble seeing and palpitations,Gastroenterologist
I have chest pain and blurred vision,Orthopedic Surgeon
I have cough and nausea,Orthopedic Surgeon
I have lower back pain and anxiety,Cardiologist
I have irregular menstrual cycle and depression,Dentist
I have lower back pain and difficulty breathing,Pediatrician
I have nausea and palpitations,Gastroenterologist
I have trouble seeing and weight loss,Pulmonologist
I have stomach pain and irregular menstrual cycle,Orthopedic Surgeon
I have palpitations and trouble seeing,Neurologist
I have persistent rash and high fever,Gastroenterologist
I have dizziness and hair loss,Endocrinologist
I have joint pain and fatigue,Dentist
I have joint pain and palpitations,Dentist
I have persistent rash and irregular menstrual cycle,Urologist
I have sore throat and trouble seeing,Gastroenterologist
I have difficulty breathing and sore throat,Dentist
I have dizziness and trouble seeing,Psychiatrist
I have shortness of breath and dizziness,Oncologist
I have joint pain and stomach pain,Gastroenterologist
I have weight loss and shortness of breath,Endocrinologist
I have high fever and palpitations,Neurologist
I have chest pain and stomach pain,Gynecologist
I have swelling and palpitations,Neurologist
I have swelling and skin itching,Gynecologist
I have shortness of breath and stomach pain,Dermatologist
I have cough and high fever,Gynecologist
I have hair loss and lower back pain,Psychiatrist
I have shortness of breath and headache,Neurologist
I have dizziness and lower back pain,Ophthalmologist
I have stomach pain and toothache,Urologist
I have dizziness and skin itching,Dentist
I have cough and stomach pain,Gynecologist
I have chest pain and blurred vision,Cardiologist
I have anxiety and dizziness,Urologist
I have nausea and toothache,Orthopedic Surgeon
I have dizziness and trouble seeing,Psychiatrist
I have nausea and anxiety,ENT Specialist
I have trouble seeing and chest pain,Neurologist
I have toothache and palpitations,Pulmonologist
I have sore throat and trouble seeing,Cardiologist
I have shortness of breath and shortness of breath,Pulmonologist
I have skin itching and headache,Dermatologist
I have fatigue and sore throat,Oncologist
I have blurred vision and difficulty breathing,Psychiatrist
I have cough and trouble seeing,Pulmonologist
I have hair loss and weight loss,Oncologist
I have high fever and dizziness,Ophthalmologist
I have shortness of breath and headache,Psychiatrist
I have lower back pain and palpitations,Dermatologist
I have trouble seeing and persistent rash,ENT Specialist
I have lower back pain and lower back pain,Gastroenterologist
I have irregular menstrual cycle and shortness of breath,Pediatrician
I have irregular menstrual cycle and difficulty breathing,Endocrinologist
I have stomach pain and cough,Psychiatrist
I have dizziness and high fever,Neurologist
I have stomach pain and cough,Psychiatrist
I have high fever and shortness of breath,Pulmonologist
I have weight loss and toothache,Oncologist
I have blurred vision and anxiety,Ophthalmologist
I have joint pain and toothache,Dermatologist
I have anxiety and hair loss,Gastroenterologist
I have hair loss and nausea,Dermatologist
I have skin itching and dizziness,Pediatrician
I have irregular menstrual cycle and palpitations,Oncologist
I have difficulty breathing and weight loss,Cardiologist
I have high fever and palpitations,Cardiologist
I have lower back pain and hair loss,Neurologist
I have high fever and weight loss,Psychiatrist
I have swelling and weight loss,Gynecologist
I have difficulty breathing and toothache,Dentist
I have weight loss and trouble seeing,Pediatrician
I have trouble seeing and chest pain,Urologist
